Mortalidad fetal
,Año de registro : 2020
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 Total,"22,637", 434, 651, 131, 147, 357, 160,"1,118", 717,"2,132", 404,"1,611", 370, 468,"1,307","3,994", 504, 399, 189, 889, 414,"1,442", 442, 225, 676, 249, 488, 402, 452, 229,"1,024", 406, 206
 De 12 semanas, 249, 3, 19, 1, 2, 2, 2, 10, 16, 18, 6, 18, 3, 4, 13, 43, 4, 2, 3, 12, 2, 4, 8, 1, 3, 4, 31, 1, 3, 1, 7, 2, 1
 De 13 semanas, 171, , 3, , , , 1, 6, 8, 26, 3, 17, 1, 1, 10, 52, 3, 3, 3, 3, 3, 3, 2, , 8, 2, 7, , 2, 1, 2, 1, 
 De 14 semanas, 304, 1, 8, , 2, 4, 2, 6, 13, 39, 3, 29, 2, 9, 23, 84, 5, 3, 1, 3, 4, 11, 4, , 6, 1, 14, 1, 8, 4, 6, 5, 3
 De 15 semanas, 300, 1, 10, , , 1, 1, 6, 12, 45, 11, 24, 1, 4, 29, 75, 5, 9, 2, 3, 5, 6, 3, , 13, , 9, , 6, 3, 6, 6, 4
 De 16 semanas,"1,567", 75, 35, 8, 13, 15, 11, 25, 44, 297, 26, 97, 6, 38, 100, 379, 9, 38, 5, 67, 5, 45, 11, 4, 52, 19, 32, , 26, 13, 31, 25, 16
 De 17 semanas, 807, 23, 17, 1, , 12, 10, 15, 22, 137, 23, 68, 4, 17, 55, 194, 7, 13, 5, 33, 3, 19, 11, 3, 20, 9, 23, 1, 19, 9, 20, 9, 5
 De 18 semanas, 938, 29, 17, 4, 2, 12, 6, 21, 28, 121, 17, 94, 5, 25, 48, 239, 16, 19, 8, 43, 6, 34, 8, 2, 32, 9, 13, , 23, 10, 23, 13, 11
 De 19 semanas, 896, 13, 21, 5, 1, 9, 5, 29, 13, 122, 18, 91, 9, 21, 58, 206, 15, 16, 9, 42, 11, 40, 4, 2, 36, 14, 18, 2, 12, 7, 32, 12, 3
 De 20 semanas,"1,364", 26, 38, 11, 8, 25, 12, 28, 36, 181, 28, 103, 8, 31, 65, 336, 20, 38, 10, 47, 18, 55, 19, 6, 45, 14, 33, 4, 22, 16, 45, 21, 15
 De 21 semanas, 981, 22, 29, 8, 5, 14, 8, 25, 23, 125, 19, 90, 10, 22, 57, 201, 15, 20, 6, 36, 10, 54, 13, 5, 40, 9, 16, 3, 23, 13, 33, 22, 5
 De 22 semanas,"1,253", 19, 34, 12, 6, 24, 10, 36, 33, 139, 29, 97, 9, 27, 72, 216, 24, 27, 13, 51, 18, 78, 27, 9, 45, 15, 23, 21, 30, 14, 63, 18, 14
 De 23 semanas,"1,130", 21, 33, 8, 7, 26, 5, 39, 22, 107, 20, 90, 17, 23, 50, 193, 30, 18, 10, 53, 16, 92, 34, 14, 34, 16, 17, 16, 22, 17, 41, 24, 15
 De 24 semanas,"1,152", 23, 35, 11, 8, 21, 12, 44, 30, 97, 12, 78, 21, 26, 68, 184, 32, 23, 13, 54, 22, 92, 35, 8, 23, 7, 15, 24, 22, 14, 63, 24, 11
 De 25 semanas, 782, 13, 15, 3, 5, 14, 7, 34, 24, 66, 12, 51, 7, 22, 43, 152, 19, 15, 4, 18, 18, 61, 18, 10, 20, 10, 16, 16, 21, 10, 39, 12, 7
 De 26 semanas, 648, 13, 21, , 3, 15, 4, 28, 25, 56, 6, 42, 9, 8, 38, 78, 19, 17, 7, 30, 14, 65, 16, 8, 13, 4, 17, 22, 10, 9, 35, 10, 6
 De 27 semanas, 506, 4, 22, 3, 4, 11, 5, 16, 15, 35, 9, 28, 7, 11, 24, 83, 12, 6, 4, 24, 10, 41, 12, 7, 21, 5, 14, 13, 14, 2, 29, 11, 4
 De 28 semanas, 567, 9, 21, 6, 4, 9, 6, 20, 24, 43, 9, 26, 14, 9, 30, 84, 19, 9, 5, 25, 13, 44, 21, 6, 15, 5, 15, 19, 10, 7, 26, 11, 3
 De 29 semanas, 401, 7, 13, 2, 2, 6, 1, 16, 18, 25, 2, 19, 9, 8, 28, 59, 13, 4, 7, 25, 8, 25, 9, 9, 15, 8, 14, 8, 7, 3, 19, 11, 1
 De 30 semanas, 608, 10, 26, 4, 5, 12, 3, 38, 26, 23, 6, 46, 15, 16, 28, 86, 12, 9, 8, 27, 18, 41, 11, 10, 15, 13, 15, 18, 11, 3, 36, 13, 4
 De 31 semanas, 455, 8, 13, 3, 4, 5, 3, 33, 21, 27, 11, 25, 13, 7, 30, 46, 18, 8, 3, 26, 8, 29, 11, 8, 19, 9, 9, 12, 9, 4, 21, 9, 3
 De 32 semanas, 597, 18, 19, 4, 5, 13, 3, 28, 23, 30, 10, 29, 13, 12, 49, 76, 19, 5, 8, 31, 11, 45, 18, 9, 13, 6, 16, 12, 12, 3, 38, 11, 8
