Mortalidad fetal
,Año de registro : 2017
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 Total,"22,336", 162, 782, 130, 134, 161, 136, 716, 628,"2,519", 362,"1,630", 84, 461,"1,411","4,758", 482, 279, 63, 794, 483,"1,463", 422, 201, 548, 415, 626, 293, 226, 249,"1,000", 458, 260
 De 12 semanas, 342, , 19, 1, 4, 2, 1, 5, 8, 22, 1, 20, , 8, 14, 51, 9, 9, 2, 8, 5, 9, , 1, 5, 10, 108, 3, , 1, 12, 1, 3
 De 13 semanas, 227, 1, 9, 1, , , 2, 1, 7, 47, , 21, , 2, 11, 59, 1, 3, , 2, , 5, 1, , 7, 12, 18, , , 2, 7, 7, 1
 De 14 semanas, 329, , 16, , , , 1, 1, 7, 57, 7, 22, , 5, 19, 102, 5, 7, , 2, 3, 10, 4, , 8, 13, 16, , , 5, 6, 6, 7
 De 15 semanas, 382, , 15, 1, 2, , 2, 1, 9, 77, 2, 22, , 9, 20, 120, 4, 3, , 1, 2, 11, 1, , 11, 17, 16, 1, 3, 6, 9, 12, 5
 De 16 semanas,"1,513", 4, 66, 12, 3, 4, 9, 10, 27, 297, 25, 91, , 20, 116, 454, 11, 24, 2, 93, 16, 41, 6, 3, 39, 15, 41, , 6, 7, 39, 23, 9
 De 17 semanas, 783, 4, 33, 2, 1, 3, 4, 3, 20, 130, 11, 78, , 22, 55, 233, 8, 11, 3, 25, 6, 30, 1, , 19, 18, 17, 1, 2, 2, 20, 12, 9
 De 18 semanas, 966, 2, 45, 4, 2, 7, 7, 8, 23, 170, 14, 87, , 23, 59, 256, 8, 15, 2, 29, 7, 47, 8, 1, 28, 16, 29, 1, 9, 9, 32, 14, 4
 De 19 semanas, 923, 3, 28, 6, 2, 6, 3, 8, 15, 168, 19, 95, , 18, 61, 243, 12, 12, 2, 18, 8, 42, 7, , 29, 17, 32, 2, 9, 13, 24, 14, 7
 De 20 semanas,"1,330", 9, 56, 11, 3, 9, 9, 16, 33, 178, 20, 114, 3, 22, 87, 359, 16, 21, , 42, 33, 69, 28, 5, 37, 10, 31, 7, 8, 11, 39, 27, 17
 De 21 semanas, 962, 10, 29, 5, , 3, 2, 14, 23, 121, 31, 86, 1, 23, 65, 230, 16, 11, , 43, 16, 54, 16, 3, 27, 18, 18, 9, 9, 15, 35, 20, 9
 De 22 semanas,"1,387", 8, 39, 8, 10, 20, 6, 23, 35, 176, 26, 120, 2, 26, 77, 308, 34, 20, 5, 64, 24, 81, 37, 5, 37, 24, 35, 4, 14, 17, 58, 32, 12
 De 23 semanas,"1,107", 12, 25, 4, 7, 9, 7, 20, 35, 152, 17, 87, 4, 20, 65, 214, 29, 10, 2, 57, 22, 71, 39, 12, 34, 22, 11, 13, 13, 14, 42, 29, 9
 De 24 semanas,"1,154", 10, 38, 9, 11, 8, 7, 42, 34, 134, 20, 85, 2, 28, 68, 231, 31, 13, 2, 35, 21, 100, 36, 15, 19, 13, 20, 25, 8, 10, 41, 26, 12
 De 25 semanas, 749, 8, 21, 3, 2, 9, 4, 27, 16, 65, 9, 47, 4, 15, 46, 165, 25, 5, 3, 18, 15, 64, 33, 12, 18, 20, 8, 13, 4, 9, 34, 13, 14
 De 26 semanas, 640, 4, 17, 5, 11, 4, 4, 21, 25, 61, 5, 34, 3, 21, 36, 134, 11, 12, 1, 23, 18, 59, 17, 6, 12, 8, 16, 7, 6, 5, 33, 13, 8
 De 27 semanas, 502, 2, 11, 5, 4, 7, 2, 16, 11, 42, 7, 37, 2, 10, 28, 77, 12, 6, 3, 31, 15, 36, 11, 4, 15, 18, 14, 9, 9, 7, 26, 12, 13
 De 28 semanas, 683, 5, 21, 3, 5, 5, 4, 25, 19, 60, 12, 32, 2, 14, 37, 219, 7, 12, 2, 17, 9, 38, 7, 6, 10, 10, 21, 15, 6, 7, 36, 13, 4
 De 29 semanas, 369, 3, 14, 2, 6, 2, 3, 18, 13, 28, 4, 21, 3, 13, 19, 50, 8, 5, 1, 13, 12, 36, 6, 4, 10, 4, 18, 10, 2, 1, 20, 14, 6
 De 30 semanas, 547, 10, 15, 6, 6, 6, 7, 20, 15, 41, 6, 41, 2, 15, 39, 87, 21, 3, 4, 12, 12, 42, 19, 9, 14, 9, 10, 10, 11, 5, 33, 7, 10
 De 31 semanas, 449, 4, 17, 5, 1, 6, 5, 8, 18, 26, 10, 25, 3, 10, 38, 71, 14, 4, 3, 27, 13, 28, 11, 3, 12, 12, 11, 12, 4, 7, 26, 12, 3
 De 32 semanas, 523, 7, 29, 6, 6, 4, 5, 30, 15, 36, 15, 45, 4, 14, 23, 68, 16, 13, 3, 20, 11, 35, 9, 8, 12, 12, 9, 8, 11, 6, 29, 9, 5
 De 33 semanas, 482, 7, 16, 1, 7, 4, 4, 21, 14, 36, 11, 41, 4, 11, 32, 72, 13, 2, 1, 20, 14, 37, 7, 6, 10, 10, 12, 15, 6, 9, 20, 9, 10
 De 34 semanas, 584, 3, 13, 5, 10, 2, 3, 20, 20, 54, 10, 27, 1, 6, 50, 88, 15, 6, 4, 22, 16, 63, 14, 11, 14, 12, 13, 10, 7, 12, 29, 13, 11
 De 35 semanas, 604, 4, 21, 7, 4, 5, 4, 23, 28, 37, 6, 35, 5, 13, 50, 91, 16, 6, , 26, 19, 45, 12, 6, 17, 13, 16, 7, 18, 14, 28, 19, 9
 De 36 semanas, 815, 3, 28, 1, 4, 13, 3, 50, 27, 55, 9, 58, 4, 13, 54, 131, 32, 5, 3, 39, 24, 66, 14, 10, 21, 14, 16, 21, 8, 9, 49, 24, 7
 De 37 semanas, 849, 5, 28, 2, 6, 4, 4, 35, 30, 67, 18, 64, 5, 21, 66, 142, 26, 8, 3, 29, 18, 63, 25, 13, 17, 19, 16, 16, 9, 9, 58, 17, 6
 De 38 semanas, 923, 11, 32, 6, 3, 7, 5, 59, 27, 56, 19, 56, 9, 21, 56, 139, 27, 12, 1, 29, 28, 82, 22, 13, 19, 22, 19, 22, 14, 13, 55, 20, 19
