Mortalidad fetal
,Año de registro : 2015
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 Total,"22,703", 186, 683, 123, 117, 165, 154, 787, 708,"2,526", 444,"1,588", 88, 451,"1,497","4,816", 460, 313, 65, 689, 537,"1,394", 393, 217, 600, 348, 572, 342, 257, 240,"1,259", 405, 279
 De 12 semanas, 403, 5, 24, , 1, 6, 2, 11, 34, 35, , 15, , 10, 20, 62, 8, 7, 3, 3, , 6, 1, 5, 19, 1, 101, 3, 1, 3, 13, 2, 2
 De 13 semanas, 234, 1, 9, 2, , , 1, 3, 7, 56, 2, 14, , 5, 10, 62, 5, 3, , 1, 3, 6, 2, , 8, 9, 12, , 2, 1, 6, 1, 3
 De 14 semanas, 318, , 11, 2, , 2, , 3, 12, 53, 5, 16, , 6, 15, 117, 3, 4, 1, , 1, 10, , , 13, 13, 15, , 2, , 8, 4, 2
 De 15 semanas, 378, 3, 11, 1, , 2, 2, 7, 16, 70, 5, 33, 1, 2, 15, 125, 6, 6, , 4, 1, 8, 1, , 10, 12, 9, 3, 6, 1, 6, 7, 5
 De 16 semanas,"1,339", 3, 45, 7, 2, 5, 4, 12, 30, 243, 31, 103, 2, 26, 134, 396, 13, 25, 2, 47, 12, 53, 7, 4, 39, 12, 28, 1, 12, 5, 17, 9, 10
 De 17 semanas, 731, 2, 19, 4, 1, 2, 5, 8, 30, 139, 17, 71, 1, 7, 39, 206, 5, 15, , 19, 1, 27, 3, , 32, 15, 26, , 5, 4, 13, 5, 10
 De 18 semanas, 993, 6, 30, 10, 4, 7, , 8, 33, 174, 20, 76, , 21, 53, 300, 11, 11, 1, 19, 17, 37, 6, , 36, 17, 26, 1, 8, 13, 25, 11, 12
 De 19 semanas, 853, 3, 30, , 1, 9, 9, 5, 30, 150, 12, 79, 2, 16, 52, 201, 8, 10, 2, 19, 12, 51, 4, 1, 31, 15, 20, 3, 10, 7, 27, 21, 13
 De 20 semanas,"1,332", 5, 40, 5, 2, 7, 9, 17, 41, 185, 41, 122, 4, 19, 96, 340, 19, 24, 2, 19, 27, 70, 11, 7, 43, 17, 35, 5, 9, 19, 53, 26, 13
 De 21 semanas, 935, 6, 36, 5, 4, 5, 3, 18, 20, 137, 37, 69, 2, 20, 60, 200, 17, 14, 3, 38, 20, 42, 15, 4, 28, 20, 17, 7, 12, 10, 30, 23, 13
