Mortalidad fetal
,Año de registro : 2016
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 Total,"22,208", 196, 715, 125, 178, 163, 152, 685, 656,"2,478", 413,"1,665", 82, 434,"1,426","4,695", 467, 238, 66, 732, 500,"1,446", 402, 216, 534, 370, 632, 350, 228, 227,"1,067", 381, 289
 De 12 semanas, 398, 2, 13, 1, 3, , , 7, 4, 42, , 32, 5, 11, 25, 51, 5, 5, 2, 2, 6, 4, 2, 2, 18, 9, 121, 1, 3, 2, 18, 1, 1
 De 13 semanas, 227, , 12, 1, , , 1, , 3, 44, , 20, , 2, 14, 76, 2, 3, , , , 8, , , 7, 7, 10, , 1, 1, 4, 3, 8
 De 14 semanas, 325, , 20, 2, 1, , 3, 2, 8, 64, 7, 22, , , 13, 94, 5, 1, , , 4, 8, 1, , 12, 15, 19, , 1, 2, 10, 5, 6
 De 15 semanas, 371, , 7, 1, 1, , 7, 1, 10, 80, 7, 26, 1, 4, 12, 116, 4, 3, , 2, 3, 10, , , 9, 18, 21, , 3, 1, 13, 6, 5
 De 16 semanas,"1,467", 13, 61, 3, 21, 2, 5, 21, 25, 275, 30, 106, 2, 20, 107, 406, 17, 23, 1, 65, 12, 49, 9, 2, 52, 16, 42, 1, 4, 9, 33, 17, 18
 De 17 semanas, 738, 4, 30, 6, 1, 5, 5, 10, 15, 136, 17, 69, 1, 8, 41, 214, 6, 8, 1, 20, 7, 28, 5, , 17, 16, 23, , 2, 9, 16, 9, 9
 De 18 semanas,"1,016", 5, 36, 6, 2, 9, 17, 13, 27, 150, 16, 107, , 15, 61, 283, 19, 10, 2, 26, 18, 42, 6, , 36, 10, 37, 4, 2, 14, 25, 10, 8
 De 19 semanas, 881, 4, 26, 8, 1, 7, 10, 5, 22, 130, 21, 90, 1, 20, 67, 238, 7, 9, 5, 20, 9, 50, 2, 3, 19, 14, 25, , 6, 11, 28, 13, 10
 De 20 semanas,"1,299", 11, 43, 8, 16, 15, 8, 15, 38, 185, 33, 118, 5, 30, 82, 308, 28, 14, 1, 21, 18, 77, 22, 2, 24, 13, 27, 6, 11, 14, 55, 32, 19
 De 21 semanas,"1,017", 9, 36, 10, 2, 6, 8, 20, 27, 156, 18, 95, 4, 22, 66, 202, 12, 15, 3, 35, 20, 60, 22, 3, 20, 21, 31, 5, 5, 8, 35, 29, 12
 De 22 semanas,"1,296", 16, 21, 3, 7, 9, 5, 29, 33, 159, 30, 107, 2, 32, 75, 297, 20, 21, 3, 50, 37, 82, 20, 12, 40, 26, 30, 12, 16, 12, 46, 26, 18
 De 23 semanas,"1,097", 14, 38, 5, 7, 14, 6, 20, 34, 121, 17, 82, 3, 26, 85, 228, 23, 12, 2, 57, 18, 73, 24, 15, 25, 18, 20, 16, 8, 8, 48, 16, 14
 De 24 semanas,"1,110", 15, 28, 12, 9, 11, 7, 21, 38, 133, 17, 67, 6, 30, 76, 215, 39, 6, 1, 45, 27, 75, 29, 7, 20, 20, 20, 25, 11, 19, 56, 16, 9
 De 25 semanas, 784, 2, 26, 3, 4, 7, 5, 25, 19, 73, 16, 61, 5, 15, 37, 171, 14, 8, 3, 30, 16, 63, 28, 15, 17, 17, 9, 17, 13, 8, 34, 8, 15
 De 26 semanas, 577, 7, 29, 3, 7, 2, 3, 20, 14, 49, 12, 42, 3, 15, 44, 101, 19, 2, , 14, 18, 49, 14, 5, 7, 6, 9, 16, 7, 3, 35, 14, 8
 De 27 semanas, 504, 3, 15, 7, 4, 6, 2, 21, 14, 43, 5, 39, , 6, 36, 78, 11, 3, 3, 30, 18, 48, 11, 7, 12, 4, 10, 11, 6, 9, 23, 11, 8
 De 28 semanas, 757, 8, 20, 10, 2, 5, 5, 16, 15, 60, 11, 31, , 11, 46, 310, 16, 10, 1, 24, 11, 38, 10, 8, 8, 8, 12, 8, 6, 8, 28, 8, 3
 De 29 semanas, 397, 5, 11, 2, 6, 5, 3, 15, 11, 32, 9, 33, 1, 10, 26, 60, 5, 4, , 13, 9, 32, 12, 6, 7, 6, 6, 9, 8, 2, 33, 4, 12
 De 30 semanas, 532, 8, 17, 1, 3, 3, 4, 31, 14, 32, 9, 25, 2, 11, 37, 86, 14, 4, 1, 20, 17, 45, 13, 10, 12, 12, 21, 14, 9, 6, 42, 5, 4
 De 31 semanas, 384, 5, 19, 3, 6, 2, 5, 14, 16, 46, 8, 21, 2, 8, 21, 53, 8, 7, , 22, 11, 22, 8, 8, 11, 4, 6, 7, 7, 4, 24, 2, 4
 De 32 semanas, 547, 4, 22, , 9, 3, 2, 21, 17, 39, 7, 40, 4, 14, 38, 81, 13, 11, 1, 17, 12, 50, 17, 8, 13, 9, 14, 10, 11, 9, 34, 10, 7
 De 33 semanas, 509, 10, 14, 4, 6, 6, 2, 16, 31, 39, 16, 32, 8, 6, 27, 75, 11, 3, 3, 17, 17, 41, 14, 8, 12, 8, 8, 15, 5, 3, 31, 11, 10
 De 34 semanas, 585, 5, 20, 2, 3, 5, 3, 30, 30, 49, 7, 44, 1, 13, 37, 93, 16, 10, 4, 17, 12, 37, 14, 13, 12, 12, 10, 13, 15, 6, 35, 13, 4
 De 35 semanas, 615, 9, 18, 2, 7, 1, 2, 20, 27, 45, 9, 51, 1, 12, 42, 100, 17, 7, 1, 21, 13, 52, 15, 14, 17, 11, 7, 20, 8, 6, 40, 10, 10
 De 36 semanas, 719, 7, 23, 5, 9, 8, 8, 34, 26, 44, 18, 58, , 16, 56, 102, 23, 6, 10, 35, 18, 42, 17, 7, 9, 7, 24, 20, 10, 6, 49, 14, 8
 De 37 semanas, 834, 8, 23, 4, 12, 10, 9, 34, 18, 61, 14, 47, 5, 10, 52, 137, 31, 6, 3, 31, 31, 56, 25, 12, 23, 15, 14, 22, 13, 12, 61, 25, 10
 De 38 semanas,"1,033", 6, 24, 5, 6, 12, 3, 58, 41, 72, 17, 63, 7, 20, 89, 165, 30, 10, 6, 35, 20, 82, 23, 15, 25, 13, 21, 36, 13, 12, 70, 17, 17
 De 39 semanas, 872, 7, 29, 3, 7, 3, 3, 57, 30, 47, 15, 61, 5, 17, 50, 150, 23, 7, 3, 33, 35, 73, 15, 14, 23, 14, 18, 28, 8, 8, 59, 18, 9
 De 40 semanas, 877, 8, 21, 2, 11, 4, 10, 78, 28, 53, 18, 48, 3, 18, 43, 145, 21, 7, 4, 25, 44, 82, 15, 15, 17, 12, 9, 24, 11, 12, 53, 22, 14
 De 41 semanas, 272, 1, 5, 1, 4, 1, 1, 21, 15, 14, 4, 17, 3, 7, 14, 37, 5, 2, 2, 3, 9, 39, 6, 1, 5, 7, 6, 7, 5, 2, 16, 5, 7
 De 42 semanas, 157, , 8, 2, 1, 2, , 10, 4, 4, 3, 11, 2, 5, 5, 22, 3, 1, , 2, 9, 29, 3, 4, 4, 1, 2, 3, , 1, 13, 1, 2
 No especificado, 11, , , , , , , , 2, 1, 2, , , , 2, 1, , , , , 1, , , , 1, 1, , , , , , , 


FUENTE: INEGI. Estadísticas de mortalidad.
