Mortalidad fetal
,Año de registro : 2019
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 Total,"23,868", 398, 650, 116, 138, 507, 157,"1,001", 741,"2,449", 417,"1,572", 386, 494,"1,400","4,417", 635, 414, 169, 975, 477,"1,402", 413, 225, 732, 294, 551, 358, 456, 250,"1,007", 434, 233
 De 12 semanas, 234, 9, 14, 1, 6, 4, , , 13, 16, 5, 23, 1, 5, 12, 39, 9, 5, 1, 10, 1, 6, 2, 1, 8, 2, 27, , 4, 1, 6, 2, 1
 De 13 semanas, 250, 11, 6, 2, 4, 4, 4, 4, 5, 31, 7, 16, 1, 5, 12, 78, 2, 8, 1, 3, 1, 1, 4, , 9, 5, 8, , 5, 1, 5, 5, 2
 De 14 semanas, 352, 6, 7, 1, 2, 2, 2, 8, 6, 48, 7, 33, 4, 8, 22, 102, 5, 9, , 10, 1, 6, , , 18, 8, 16, , 7, , 5, 5, 4
 De 15 semanas, 403, 8, 10, , 1, 4, 3, 5, 12, 52, 7, 36, 4, 9, 16, 118, 5, 11, 3, 10, 2, 13, 3, 3, 20, 4, 20, 1, 2, 3, 7, 9, 2
 De 16 semanas,"1,762", 27, 61, 9, 4, 36, 12, 12, 51, 362, 22, 123, 13, 32, 118, 429, 23, 32, 3, 67, 7, 52, 23, 4, 58, 18, 38, 1, 21, 10, 38, 41, 15
 De 17 semanas, 893, 25, 23, 4, 1, 17, 7, 12, 18, 137, 21, 72, 2, 14, 43, 232, 7, 15, 8, 42, 5, 39, 15, 5, 30, 13, 26, , 12, 8, 28, 12, 
 De 18 semanas,"1,128", 25, 36, 3, 1, 20, 9, 24, 27, 168, 16, 91, 4, 23, 77, 267, 14, 16, 9, 43, 22, 44, 18, 3, 39, 15, 25, 1, 23, 15, 32, 13, 5
 De 19 semanas,"1,007", 25, 28, 7, 5, 20, 5, 19, 46, 142, 18, 94, 7, 28, 64, 213, 15, 19, 3, 28, 10, 40, 8, 3, 32, 17, 32, 2, 18, 15, 22, 15, 7
 De 20 semanas,"1,538", 22, 36, 4, 5, 41, 11, 31, 36, 190, 35, 124, 10, 39, 84, 353, 23, 31, 18, 50, 19, 77, 35, 6, 47, 18, 36, 8, 36, 18, 56, 27, 12
 De 21 semanas,"1,090", 19, 35, 3, 5, 24, 4, 20, 33, 140, 33, 86, 3, 23, 55, 214, 28, 20, 5, 64, 16, 71, 16, 7, 39, 14, 23, 4, 19, 11, 30, 17, 9
 De 22 semanas,"1,476", 34, 39, 11, 10, 39, 13, 34, 54, 151, 18, 122, 26, 41, 86, 256, 45, 34, 15, 62, 27, 84, 28, 12, 47, 20, 29, 10, 17, 14, 52, 35, 11
 De 23 semanas,"1,173", 20, 25, 8, 11, 21, 5, 41, 30, 142, 23, 76, 13, 17, 63, 203, 41, 30, 10, 51, 21, 67, 28, 9, 41, 13, 22, 12, 23, 12, 47, 27, 21
 De 24 semanas,"1,177", 16, 36, 3, 4, 32, 1, 51, 23, 135, 17, 62, 11, 31, 64, 208, 41, 23, 9, 50, 26, 79, 25, 11, 42, 14, 18, 22, 35, 8, 48, 21, 11
 De 25 semanas, 845, 5, 24, 4, 7, 15, , 36, 28, 89, 10, 47, 18, 20, 38, 142, 34, 14, 5, 40, 17, 67, 18, 10, 15, 8, 27, 20, 17, 10, 30, 21, 9
 De 26 semanas, 648, 10, 8, 3, 9, 10, 7, 32, 21, 54, 16, 31, 12, 15, 39, 99, 26, 11, 7, 26, 15, 52, 14, 7, 27, 8, 10, 12, 16, 6, 27, 15, 3
 De 27 semanas, 488, 6, 15, 2, 5, 10, 4, 29, 21, 39, 8, 33, 11, 11, 30, 60, 19, 9, 3, 19, 12, 34, 10, 3, 17, 2, 10, 9, 9, 2, 29, 13, 4
 De 28 semanas, 702, 7, 18, 9, 6, 11, 3, 30, 12, 69, 9, 35, 7, 8, 21, 187, 13, 9, 6, 26, 10, 49, 9, 13, 12, 7, 20, 14, 17, 17, 32, 10, 6
 De 29 semanas, 470, 7, 17, 7, 5, 8, 2, 26, 13, 31, 10, 32, 16, 5, 28, 57, 10, 5, 3, 35, 12, 39, 9, 2, 20, 10, 9, 9, 8, 4, 20, 6, 5
 De 30 semanas, 630, 10, 20, 4, 5, 8, 4, 37, 29, 38, 5, 23, 14, 16, 33, 105, 12, 7, 5, 33, 15, 52, 14, 10, 6, 8, 19, 19, 18, 12, 29, 13, 7
 De 31 semanas, 456, 7, 18, 1, 2, 8, 5, 19, 13, 40, 6, 21, 14, 6, 32, 68, 13, 6, , 22, 16, 27, 8, 2, 9, 7, 10, 7, 6, 7, 38, 12, 6
